workload,system,cohort_path,run_id,seed,mode,N,tenant_id,t_start,t_end,concurrent_runtime,internal_runtime,figure_of_merit,fom_name,fixed_work_units,cpu_s,max_rss_kib,exit_status,correctness_status,sospechoso,derivacion
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,3,1785285501.91406,1785285592.5071647,90.593105,25.851,23210251.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,5,1785285501.9144905,1785285605.4138875,103.499397,62.459,9606260.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,2,1785285501.9139256,1785285605.1038516,103.189926,51.071,11748288.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,4,1785285501.9145772,1785285592.508506,90.593929,37.654,15934576.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,0,1785285501.9126668,1785285605.919043,104.006376,12.968,46269037.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,7,1785285501.914708,1785285605.5114946,103.596787,37.568,15970837.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,1,1785285501.9145994,1785285605.3159623,103.401363,62.22,9643197.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,01,sync,8,6,1785285501.9141724,1785285605.6249933,103.710821,25.204,23806053.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,3,1785075020.3771398,1785075126.66192,106.28478,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,5,1785075020.3773506,1785075127.466502,107.089151,103.412,12087560.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,2,1785075020.3765757,1785075127.4672992,107.090724,51.969,24052912.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,4,1785075020.3771765,1785075127.4434702,107.066294,77.415,16146825.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,0,1785075020.3754973,1785075101.1126997,80.737202,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,7,1785075020.377189,1785075126.6611676,106.283979,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,1,1785075020.3768713,1785075127.1629338,106.786062,77.333,16163817.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed05,05,sync,8,6,1785075020.377308,1785075154.541919,134.164611,25.647,48737756.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,3,1785075289.197469,1785075371.569159,82.37169,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,5,1785075289.1981514,1785075397.5396185,108.341467,103.442,12084064.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,2,1785075289.1982977,1785075371.572235,82.373937,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,4,1785075289.1990407,1785075371.5685017,82.369461,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,0,1785075289.197281,1785075397.5399535,108.342673,77.37,16156077.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,7,1785075289.1990993,1785075397.6367378,108.437639,51.737,24160812.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,1,1785075289.19815,1785075397.5801208,108.381971,77.228,16185740.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed07,07,sync,8,6,1785075289.1989667,1785075397.0702827,107.871316,missing,missing,missing,missing,missing,missing,2,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,3,1785285768.214184,1785285870.039833,101.825649,49.884,12027880.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,5,1785285768.2143621,1785285870.692023,102.477661,49.572,12103629.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,2,1785285768.2137754,1785285870.69045,102.476675,24.698,24293192.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,4,1785285768.2144377,1785285870.1962035,101.981766,62.016,9674854.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,0,1785285768.2126772,1785285870.6642373,102.45156,49.452,12132970.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
