system,N,seed,cohort,tenant_id,runtime_s,wall_s,lookups_per_s,normalized_progress,slowdown
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,4,61.807,89.738273,9707638.0,0.194,5.154
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,5,49.719,90.111318,12067917.0,0.2412,4.146
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,6,49.931,89.381362,12016468.0,0.2402,4.1637
rdma,8,00,xsbench_campaign/results/xsbench/rdma/N8/sync/seed00,7,50.091,89.380443,11978081.0,0.2394,4.177
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,0,37.365,102.923913,16057899.0,0.3209,3.1158
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,1,12.847,103.367012,46704444.0,0.9334,1.0713
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,2,62.465,90.022255,9605440.0,0.192,5.2089
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,3,62.601,90.140191,9584525.0,0.1916,5.2202
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,4,62.721,102.500559,9566145.0,0.1912,5.2302
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,5,24.993,102.964192,24006360.0,0.4798,2.0841
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,6,50.091,102.505246,11978151.0,0.2394,4.177
rdma,8,01,xsbench_campaign/results/xsbench/rdma/N8/sync/seed01,7,50.059,102.918691,11985832.0,0.2396,4.1744
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,0,12.303,104.418931,48769789.0,0.9747,1.0259
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,1,38.001,65.775337,15788977.0,0.3156,3.1689
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,2,25.172,52.76587,23835799.0,0.4764,2.0991
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,3,25.529,65.971904,23502549.0,0.4697,2.1288
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,4,24.548,104.320965,24441967.0,0.4885,2.047
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,5,25.5,65.509523,23529302.0,0.4703,2.1264
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,6,12.879,66.185884,46589016.0,0.9311,1.074
rdma,8,02,xsbench_campaign/results/xsbench/rdma/N8/sync/seed02,7,25.081,104.272384,23922280.0,0.4781,2.0915
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,0,74.662,102.518937,8036188.0,0.1606,6.226
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,1,74.928,102.15874,8007727.0,0.16,6.2482
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,2,24.808,102.658551,24186079.0,0.4834,2.0687
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,3,62.784,102.158501,9556634.0,0.191,5.2355
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,4,62.399,102.462508,9615542.0,0.1922,5.2034
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,5,12.592,103.030134,47648725.0,0.9524,1.05
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,6,37.575,102.919448,15968170.0,0.3191,3.1333
rdma,8,03,xsbench_campaign/results/xsbench/rdma/N8/sync/seed03,7,49.612,102.514851,12093766.0,0.2417,4.1371
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,0,13.349,78.476172,44948638.0,0.8983,1.1132
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,1,49.775,65.076102,12054182.0,0.2409,4.1507
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,2,50.042,77.742056,11989842.0,0.2396,4.1729
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,3,50.042,77.852663,11989828.0,0.2396,4.1729
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,4,37.694,78.431234,15917701.0,0.3181,3.1433
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,5,24.561,104.161323,24429433.0,0.4883,2.0481
