workload,system,N,lambda_total,label,rep,stable,tenant,requests,completed,timeouts,failed,completion_fraction,offered_output_tokens,completed_output_tokens,delivered_output_tokens,token_service_fraction,slo_1s_fraction,slo_5s_fraction,timeout_fraction,ttft_p50,ttft_p95,ttft_p99,tpot_p50,offered_share,service_share,share_normalizada
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8205,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,186.67235411703587,434.94901107624173,434.94901107624173,14.369161095558189,0.1,0.1,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8206,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,404.25758017227054,462.7420292235911,462.7420292235911,14.140258895189273,0.1,0.1,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8207,8,8,0,0,1.0,1024,1024,1024,1.0,1.0,1.0,0.0,31.973006203770638,601.3198778964579,601.3198778964579,7.633467820861678,0.26666666666666666,0.26666666666666666,1.0
llama7b,gusto,8,1.0,mt_ucx_n8_l1.0,1,STABLE,http://127.0.0.1:8208,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,186.4390387199819,186.4390387199819,186.4390387199819,10.967978646641406,0.06666666666666667,0.06666666666666667,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8301,5,5,0,0,1.0,640,640,640,1.0,0.8,1.0,0.0,60.220963787287474,1691.3653491064906,1691.3653491064906,23.591964149950293,0.16666666666666666,0.16666666666666666,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8302,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,27.08925399929285,60.821796767413616,60.821796767413616,19.610636053592202,0.1,0.1,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8303,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,69.85737616196275,69.85737616196275,69.85737616196275,39.36263851044098,0.06666666666666667,0.06666666666666667,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8304,4,4,0,0,1.0,512,512,512,1.0,1.0,1.0,0.0,32.45200915262103,58.23330581188202,58.23330581188202,22.018349205151083,0.13333333333333333,0.13333333333333333,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8305,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,47.39442514255643,70.37075096741319,70.37075096741319,23.081953816966514,0.1,0.1,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8306,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,41.51253588497639,53.62864816561341,53.62864816561341,23.000455670440058,0.1,0.1,1.0
