system,N,lam,rep,goodput,ttft_p95,pct_1s,timeouts,worst_tenant_1s,tenants_con_demanda,goodput_bruto,estable
ucx,4,0.75,1,81.1,1349.0,94.7,0,80.0,4,85.3,STABLE
ucx,4,0.75,2,51.2,1070.0,91.7,0,80.0,4,55.5,STABLE
ucx,4,0.75,3,0.0,0.0,0.0,0,0.0,4,0.0,UNSTABLE
ucx,4,1.0,1,115.2,1449.0,92.6,0,83.33333333333333,4,128.0,STABLE
ucx,4,1.0,2,59.7,1930.0,92.9,0,80.0,4,64.0,STABLE
ucx,4,1.0,3,119.5,2256.0,64.3,0,33.333333333333336,4,140.8,STABLE
ucx,4,1.5,1,153.6,6612.0,44.4,0,15.384615384615385,4,213.3,STABLE
ucx,4,1.5,2,119.5,2769.0,71.4,0,38.46153846153846,4,140.8,STABLE
ucx,4,1.5,3,153.6,10708.0,36.1,0,0.0,4,209.1,STABLE
ucx,4,2.0,1,157.9,15627.0,8.1,3,0.0,4,285.9,UNSTABLE
ucx,4,2.0,2,149.3,8434.0,60.0,0,27.272727272727273,4,204.8,STABLE
ucx,4,2.0,3,0.0,0.0,0.0,0,0.0,4,0.0,UNSTABLE
ucx,8,0.25,1,29.9,194.0,100.0,0,100.0,5,34.1,STABLE
ucx,8,0.25,2,21.3,195.0,100.0,0,100.0,6,25.6,STABLE
ucx,8,0.25,3,42.7,195.0,100.0,0,100.0,7,46.9,STABLE
ucx,8,0.5,1,55.5,938.0,100.0,0,100.0,7,59.7,STABLE
ucx,8,0.5,2,29.9,195.0,100.0,0,100.0,7,38.4,STABLE
ucx,8,0.5,3,55.5,944.0,100.0,0,100.0,6,64.0,STABLE
ucx,8,0.75,1,81.1,950.0,100.0,0,100.0,7,85.3,STABLE
ucx,8,0.75,2,51.2,937.0,100.0,0,100.0,6,55.5,STABLE
ucx,8,0.75,3,76.8,1073.0,94.4,0,66.66666666666667,8,85.3,STABLE
ucx,8,1.0,1,115.2,887.0,100.0,0,100.0,8,128.0,STABLE
ucx,8,1.0,2,59.7,1530.0,92.9,0,75.0,6,64.0,STABLE
ucx,8,1.0,3,119.5,1495.0,82.1,0,33.333333333333336,8,140.8,STABLE
ucx,8,1.5,1,153.6,7617.0,69.4,0,11.11111111111111,8,213.3,STABLE
ucx,8,1.5,2,119.5,2430.0,78.6,0,44.44444444444444,8,140.8,STABLE
ucx,8,1.5,3,162.1,9421.0,39.5,0,0.0,8,213.3,STABLE
ucx,8,2.0,1,157.9,11240.0,16.2,2,0.0,8,290.1,UNSTABLE
ucx,8,2.0,2,145.1,5902.0,70.6,0,14.285714285714286,8,204.8,STABLE
