label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
slo_bm_n8_l2.0_r2,open,8,1,2.00,30,128,48,45,1,1,204.8,1.60,4.03,4.10,3056,16852,24036,40.6,51.4,57.3,81,85,137,40,42,67,4,21,21,0.818,UNSTABLE
slo_bm_n8_l0.25_r2,open,8,1,0.25,30,128,6,6,0,0,25.6,0.20,0.19,0.00,24,40,40,7.0,15.6,15.7,26,26,26,100,100,100,0,1,2,0.750,STABLE
slo_ucx_n8_l0.75_r2,open,8,1,0.75,30,128,13,13,0,0,55.5,0.43,0.47,0.04,32,937,937,7.2,12.8,12.9,55,55,55,100,100,100,0,1,3,0.542,STABLE
slo_ucx_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.46,0.49,355,2430,3666,12.8,18.7,19.8,115,119,141,82,85,100,0,5,5,0.664,STABLE
slo_ucx_n8_l1.0_r2,open,8,1,1.00,30,128,15,15,0,0,64.0,0.50,0.53,0.04,32,1530,1530,7.2,12.8,13.0,60,64,64,93,100,100,0,1,4,0.551,STABLE
slo_ucx_n8_l0.5_r2,open,8,1,0.50,30,128,9,9,0,0,38.4,0.30,0.23,0.00,31,195,195,7.2,9.5,12.8,38,38,38,100,100,100,0,1,2,0.675,STABLE
slo_ucx_n8_l2.0_r2,open,8,1,2.00,30,128,48,45,0,0,204.8,1.60,2.29,1.13,817,9375,10092,12.8,30.6,31.2,111,128,171,54,62,83,3,13,13,0.823,STABLE
slo_ucx_n8_l0.25_r2,open,8,1,0.25,30,128,6,6,0,0,25.6,0.20,0.16,0.00,31,195,195,7.2,12.8,13.0,26,26,26,100,100,100,0,1,2,0.750,STABLE
slo_bm_n4_l0.75_r2,open,4,1,0.75,30,128,13,13,0,0,55.5,0.43,0.41,0.04,23,970,970,7.0,15.7,15.7,55,55,55,100,100,100,0,1,3,0.828,STABLE
slo_bm_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.53,1.15,44,6698,8299,15.6,24.4,32.4,94,107,124,67,76,88,0,7,7,0.813,STABLE
slo_bm_n4_l1.0_r2,open,4,1,1.00,30,128,15,15,0,0,64.0,0.50,0.50,0.12,24,1929,1929,7.0,15.7,15.7,60,64,64,93,100,100,0,1,3,0.840,STABLE
slo_bm_n4_l0.5_r2,open,4,1,0.50,30,128,9,9,0,0,38.4,0.30,0.24,0.00,23,38,38,7.0,15.6,15.7,38,38,38,100,100,100,0,1,2,0.810,STABLE
slo_bm_n4_l2.0_r2,open,4,1,2.00,30,128,49,45,0,0,209.1,1.63,2.91,4.61,3213,17718,20614,24.0,32.6,32.9,60,77,124,29,37,59,4,18,19,0.982,UNSTABLE
slo_bm_n4_l0.25_r2,open,4,1,0.25,30,128,6,6,0,0,25.6,0.20,0.19,0.00,23,32,32,7.0,15.7,15.7,26,26,26,100,100,100,0,1,2,0.900,STABLE
slo_ucx_n4_l0.75_r2,open,4,1,0.75,30,128,13,13,0,0,55.5,0.43,0.38,0.05,32,1070,1070,7.2,12.8,12.9,51,55,55,92,100,100,0,1,3,0.828,STABLE
slo_ucx_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.29,0.73,281,3346,4067,12.7,18.7,18.9,98,111,141,70,79,100,0,5,5,0.813,STABLE
slo_ucx_n4_l1.0_r2,open,4,1,1.00,30,128,15,15,0,0,64.0,0.50,0.55,0.11,32,1930,1930,7.2,12.8,12.9,60,64,64,93,100,100,0,1,3,0.840,STABLE
slo_ucx_n4_l0.5_r2,open,4,1,0.50,30,128,9,9,0,0,38.4,0.30,0.26,0.00,31,192,192,7.2,9.4,12.9,38,38,38,100,100,100,0,1,2,0.810,STABLE
slo_ucx_n4_l2.0_r2,open,4,1,2.00,30,128,48,45,0,0,204.8,1.60,2.06,2.02,1697,9152,10827,12.8,18.7,21.2,94,115,154,46,56,75,3,13,13,0.976,STABLE
slo_ucx_n4_l0.25_r2,open,4,1,0.25,30,128,6,6,0,0,25.6,0.20,0.18,0.00,31,195,195,7.2,12.8,13.0,26,26,26,100,100,100,0,1,2,0.900,STABLE
slo_bm_n2_l0.75_r2,open,2,1,0.75,30,128,13,13,0,0,55.5,0.43,0.45,0.05,23,970,970,7.0,15.5,15.7,55,55,55,100,100,100,0,1,3,0.994,STABLE
slo_bm_n2_l1.5_r2,open,2,1,1.50,30,128,33,32,0,0,140.8,1.10,1.21,1.19,408,5138,5291,7.0,15.7,16.1,81,94,128,58,67,91,0,5,6,0.900,STABLE
