cell,rep,transfer,h2d_ms,h2d_GBps,device_ck_ok,host_ck_ok
fence,6,9,2.943,22.803,pass,pass
fence,6,10,2.949,22.756,pass,pass
fence,6,11,2.950,22.748,pass,pass
fence,6,12,2.947,22.775,pass,pass
fence,6,13,2.941,22.818,pass,pass
fence,6,14,2.935,22.866,pass,pass
fence,6,15,2.940,22.823,pass,pass
fence,6,16,2.937,22.849,pass,pass
assume,2,1,161.291,0.416,pass,pass
assume,2,2,8.907,7.534,pass,pass
assume,2,3,2.966,22.630,pass,pass
assume,2,4,2.946,22.777,pass,pass
assume,2,5,2.945,22.789,pass,pass
assume,2,6,2.948,22.768,pass,pass
assume,2,7,2.955,22.711,pass,pass
assume,2,8,2.952,22.735,pass,pass
assume,2,9,2.954,22.718,pass,pass
assume,2,10,2.953,22.727,pass,pass
assume,2,11,2.955,22.711,pass,pass
assume,2,12,2.950,22.747,pass,pass
assume,2,13,2.942,22.811,pass,pass
assume,2,14,2.940,22.825,pass,pass
assume,2,15,2.947,22.771,pass,pass
assume,2,16,2.946,22.779,pass,pass
fence,1,1,161.224,0.416,pass,pass
fence,1,2,9.202,7.293,pass,pass
fence,1,3,2.976,22.547,pass,pass
fence,1,4,2.941,22.815,pass,pass
fence,1,5,2.937,22.852,pass,pass
fence,1,6,2.948,22.763,pass,pass
fence,1,7,2.937,22.849,pass,pass
fence,1,8,2.936,22.858,pass,pass
fence,1,9,2.940,22.823,pass,pass
fence,1,10,2.942,22.811,pass,pass
fence,1,11,2.942,22.811,pass,pass
fence,1,12,2.935,22.865,pass,pass
fence,1,13,2.941,22.820,pass,pass
fence,1,14,2.942,22.814,pass,pass
fence,1,15,2.941,22.821,pass,pass
fence,1,16,2.931,22.898,pass,pass
