routine,payload_bytes,rt_us,server_us
cudaRegisterVar,124,53,0
cudaRegisterFatBinaryEnd,80791,170,0
cudaRegisterFatBinary,82519,236,0
cudaRegisterFunction,217,76,0
cudaRegisterFunction,229,95,0
cudaRegisterVar,157,68,0
cudaRegisterVar,122,68,0
cudaRegisterVar,114,59,0
cudaRegisterVar,2168,57,0
cudaRegisterVar,6262,57,0
cudaRegisterVar,14452,62,0
cudaRegisterVar,15480,68,0
cudaRegisterVar,17524,70,0
cudaRegisterVar,17548,76,0
cudaRegisterVar,120,64,0
cudaRegisterVar,124,67,0
cudaRegisterFatBinaryEnd,82519,178,0
cudaRegisterFatBinary,99167,249,0
cudaRegisterFunction,229,69,0
cudaRegisterFunction,241,62,0
cudaRegisterVar,179,59,0
cudaRegisterVar,122,62,0
cudaRegisterVar,114,61,0
cudaRegisterVar,2168,63,0
cudaRegisterVar,6262,65,0
cudaRegisterVar,14452,72,0
cudaRegisterVar,15480,68,0
cudaRegisterVar,17524,67,0
cudaRegisterVar,17548,74,0
cudaRegisterVar,120,68,0
cudaRegisterVar,124,64,0
cudaRegisterFatBinaryEnd,99167,165,0
cudaRegisterFatBinary,420095,704,0
cudaRegisterFunction,227,68,0
cudaRegisterFunction,387,60,0
cudaRegisterFunction,387,63,0
cudaRegisterFunction,387,65,0
cudaRegisterFunction,387,62,0
cudaRegisterFunction,387,56,0
cudaRegisterFunction,389,67,0
cudaRegisterFunction,211,62,0
cudaRegisterFunction,239,58,0
cudaRegisterFunction,415,61,0
cudaRegisterFunction,415,65,0
cudaRegisterFunction,415,67,0
cudaRegisterFunction,415,67,0
cudaRegisterFunction,415,70,0
cudaRegisterFunction,417,64,0
cudaRegisterFunction,227,64,0
cudaRegisterFunction,239,63,0
cudaRegisterFunction,399,60,0
cudaRegisterFunction,399,68,0
cudaRegisterFunction,399,63,0
cudaRegisterFunction,399,56,0
cudaRegisterFunction,399,57,0
cudaRegisterFunction,401,56,0
cudaRegisterFunction,211,56,0
cudaRegisterFunction,191,60,0
cudaRegisterFunction,189,66,0
cudaRegisterFunction,189,64,0
cudaRegisterFunction,191,63,0
cudaRegisterFunction,191,62,0
cudaRegisterFunction,189,67,0
cudaRegisterFunction,189,59,0
cudaRegisterFunction,193,64,0
cudaRegisterFunction,189,53,0
cudaRegisterFunction,191,65,0
cudaRegisterFunction,193,71,0
cudaRegisterFunction,187,57,0
cudaRegisterFunction,187,162,0
cudaRegisterFunction,187,62,0
cudaRegisterFunction,187,54,0
cudaRegisterFunction,187,53,0
cudaRegisterFunction,189,54,0
cudaRegisterFunction,189,56,0
cudaRegisterFunction,203,54,0
cudaRegisterFunction,201,54,0
cudaRegisterFunction,201,53,0
cudaRegisterFunction,203,57,0
cudaRegisterFunction,203,64,0
cudaRegisterFunction,201,55,0
cudaRegisterFunction,201,56,0
cudaRegisterFunction,205,54,0
cudaRegisterFunction,201,59,0
cudaRegisterFunction,203,52,0
cudaRegisterFunction,205,53,0
cudaRegisterFunction,199,58,0
cudaRegisterFunction,199,55,0
cudaRegisterFunction,199,56,0
cudaRegisterFunction,199,63,0
cudaRegisterFunction,199,61,0
cudaRegisterFunction,201,65,0
cudaRegisterFunction,201,62,0
cudaRegisterFunction,219,65,0
cudaRegisterFunction,217,63,0
cudaRegisterFunction,217,62,0
cudaRegisterFunction,219,60,0
cudaRegisterFunction,219,66,0
cudaRegisterFunction,217,66,0
cudaRegisterFunction,217,61,0
cudaRegisterFunction,221,65,0
cudaRegisterFunction,217,63,0
cudaRegisterFunction,219,61,0
cudaRegisterFunction,221,57,0
cudaRegisterFunction,215,71,0
cudaRegisterFunction,215,64,0
cudaRegisterFunction,215,58,0
cudaRegisterFunction,215,54,0
cudaRegisterFunction,215,66,0
cudaRegisterFunction,217,67,0
cudaRegisterFunction,217,63,0
cudaRegisterFunction,213,61,0
cudaRegisterFunction,213,68,0
cudaRegisterVar,129,66,0
cudaRegisterVar,122,61,0
cudaRegisterVar,114,55,0
cudaRegisterVar,2168,60,0
cudaRegisterVar,6262,61,0
cudaRegisterVar,14452,62,0
cudaRegisterVar,15480,60,0
cudaRegisterVar,17524,60,0
cudaRegisterVar,17548,61,0
cudaRegisterVar,120,58,0
cudaRegisterVar,124,56,0
cudaRegisterFatBinaryEnd,420095,265,0
cudaRegisterFatBinary,65663,210,0
cudaRegisterFunction,177,66,0
cudaRegisterVar,175,60,0
cudaRegisterVar,122,57,0
cudaRegisterVar,114,55,0
cudaRegisterVar,2168,55,0
cudaRegisterVar,6262,62,0
cudaRegisterVar,14452,71,0
cudaRegisterVar,15480,71,0
cudaRegisterVar,17524,77,0
cudaRegisterVar,17548,73,0
cudaRegisterVar,120,57,0
cudaRegisterVar,124,56,0
cudaRegisterFatBinaryEnd,65663,133,0
cudaRegisterFatBinary,478079,616,0
cudaRegisterFunction,337,66,0
cudaRegisterFunction,189,55,0
cudaRegisterFunction,337,55,0
cudaRegisterFunction,189,52,0
cudaRegisterFunction,213,54,0
cudaRegisterFunction,337,56,0
cudaRegisterFunction,365,62,0
cudaRegisterFunction,217,59,0
cudaRegisterFunction,377,64,0
cudaRegisterFunction,229,64,0
cudaRegisterFunction,369,66,0
cudaRegisterFunction,349,66,0
cudaRegisterFunction,201,64,0
cudaRegisterFunction,377,63,0
